symbol,price
CAA,78.89
BAD,67.1
CAA,48.2
EBE,97.65
BCA,74.99
DBA,53.38
DAE,25.14
DBA,40.93
CCA,81.62
CCC,52.31
AEA,43.0
BCA,76.78
DEC,32.2
BBD,84.9
BAE,51.3
DCD,43.81
BCB,75.66
ACB,51.45
EBE,14.17
EEC,76.58
DDA,26.94
BCD,28.85
CCD,99.41
EBB,66.15
CAB,20.21
DDE,67.39
CEB,92.09
BBE,36.4
ACE,77.42
EAA,37.75
EDD,65.69
ACD,26.67
BBC,13.48
AEB,24.75
CBD,79.38
DDC,41.39
CBD,33.54
EEC,41.94
DAC,37.2
BAD,59.98
ADA,38.97
CBC,82.61
DCA,71.67
ECB,56.45
DAC,88.06
BDD,53.9
CED,38.4
DAE,75.36
DAC,89.04
AEA,96.42
DAD,52.77
BDE,62.08
DEB,22.16
EAE,18.0
BCC,93.06
AEA,45.13
CBA,85.72
AEC,61.58
BEB,75.51
DEE,67.72
AAA,38.78
EBD,73.88
CAE,90.33
CCD,18.75
AAC,96.56
DEB,64.86
BAB,99.9
BAB,54.24
AAC,13.12
ECA,74.86
AAD,28.37
DEB,95.03
ACC,80.5
ECA,94.8
CDE,90.51
CBB,94.43
BEE,16.95
DEA,54.66
ADC,95.27
CCC,99.79
EEE,91.97
BAD,13.38
BBD,61.48
ACA,45.14
DDC,91.14
BCB,37.38
CCC,93.12
AEC,88.51
EBB,80.43
AAE,79.12
CBA,70.92
DAC,68.63
DCD,35.14
CCD,99.61
DDE,91.06
ADB,70.24
BCD,44.5
EEA,63.97
AEB,89.93
EDB,74.42
ADE,22.96
CAE,37.43
DCA,36.46
CBE,74.26
AED,33.67
CAE,58.06
DAC,41.82
EBD,31.17
DBD,53.17
AAA,16.2
EDC,27.73
DEC,28.97
ABD,11.05
DCE,78.89
ECB,89.69
BCA,24.33
DBD,86.01
CDB,88.28
DDE,22.15
BBB,55.77
CAB,86.34
EBB,25.25
BDD,64.26
CDA,31.28
BDD,64.54
EBD,32.27
CCD,25.84
CEB,99.29
BCC,51.93
BAA,80.64
EBC,96.5
ABB,30.12
AEE,58.1
BCC,99.18
CDC,54.6
EAA,85.13
DAA,90.38
CAC,83.79
ABD,36.08
AEE,71.77
EBE,28.63
ABB,24.54
EBA,72.53
BBB,80.08
ACD,23.27
DAA,97.71
EDC,47.67
CDD,73.53
BEA,13.53
ADB,98.08
DBE,87.83
CCA,77.14
EDC,26.73
ADC,22.21
ADB,95.28
ADE,50.5
CDC,29.97
DCC,60.61
CAA,37.44
AED,85.04
EBE,23.2
EEA,90.23
ACC,48.92
CDC,50.05
ADD,99.81
ADE,41.42
EDD,10.84
DBE,70.59
CEE,31.94
EAC,24.0
ABD,54.78
DAC,49.12
BEC,58.42
DCA,38.52
BAB,36.93
ECA,73.46
BDE,84.17
ADD,89.21
EBB,81.63
ECE,22.08
ABE,44.95
DAC,31.38
ACB,24.76
CAB,30.52
BCD,68.27
EED,49.63
DAE,29.37
EDB,55.93
BDE,60.74
EBD,92.64
DBA,92.42
BCB,66.49
AEB,20.3
DAE,14.28
BBC,86.16
DEC,55.27
CAC,37.91
ECD,31.83
ECD,84.0
EDA,28.7
BAA,90.23
ADD,42.81
CCB,32.45
CCE,48.22
CEA,49.61
BEE,26.14
BAB,52.18
EEA,52.17
CCC,72.34
ACD,52.5
BAB,42.29
DEC,59.13
BDB,68.19
BDE,22.9
CEA,92.72
AAE,32.43
AED,41.81
CAA,22.44
CBC,25.76
EEC,12.1
DBB,11.01
AEC,81.2
DCD,37.09
BEC,82.62
DDD,77.59
ACD,83.94
CCA,75.77
BCE,42.73
ECA,70.86
EDA,64.55
CAD,63.23
ACD,51.77
AED,73.76
DEC,30.76
ACD,43.48
ADA,35.68
DCB,83.78
EDC,56.34
CDC,23.23
DDB,92.92
CAD,13.62
EAC,45.95
CCD,88.55
DDB,88.13
CDA,83.54
ABB,73.16
CEB,64.33
EDC,96.4
EBB,39.93
CBD,30.92
BDC,31.32
EAA,32.83
BCB,85.38
CEC,25.23
DDA,82.63
ECB,93.92
BDA,40.46
AAC,43.45
BAA,28.61
ADC,11.45
CCB,10.1
BCC,17.72
EEE,80.58
BDE,42.11
CAD,88.66
ACA,35.67
CAB,74.7
CAD,27.11
CBA,12.47
DDC,88.72
BBC,83.04
EDC,45.66
DDE,22.12
EDC,64.23
EAD,16.11
CDB,83.37
EDE,80.55
ACA,44.7
EDD,83.2
BDC,22.28
CAC,41.66
DAE,32.29
CEB,91.87
DCD,11.61
EEA,58.46
BED,90.82
EDC,89.09
AEB,32.83
EED,23.83
BEC,56.25
CDA,92.6
CEC,23.56
DEB,60.48
CAE,14.84
DCE,38.1
EEC,35.08
EAE,95.61
CCD,68.78
ECD,96.12
EDA,93.96
EBB,48.03
ECC,34.08
DBA,68.76
DDD,76.89
CAE,20.44
CDE,57.17
CCB,42.48
EEE,38.45
BEA,74.77
DDA,16.27
ACE,15.67
BBD,52.02
ECD,93.27
ECA,13.1
DDD,67.86
BDC,85.8
BBE,78.4
BCB,36.98
EEA,62.38
CAB,73.89
ADC,37.26
AEE,31.76
AED,27.8
CBD,29.69
CBE,24.36
EAA,71.34
ECA,57.59
EDD,79.52
ADD,23.16
DCD,47.89
DBB,82.94
EBB,63.71
DEC,52.54
BDD,98.09
EDE,21.62
BEB,89.55
ADA,54.14
EAD,90.23
ACA,49.0
BCA,63.39
DAB,99.77
BDB,64.99
CBE,84.93
ABA,88.23
DDE,33.91
BED,36.31
DBE,53.72
BDE,55.89
CED,12.15
CCA,14.35
EAC,51.67
AEA,86.38
CBD,61.17
ADC,17.94
ECE,61.6
CCE,39.15
CCE,63.44
DED,60.17
CED,42.12
CCE,19.51
DBB,66.0
AEB,33.82
BAC,57.31
BDD,67.7
EED,60.88
EAD,15.4
EBC,64.49
DEC,52.18
CCE,42.38
CCE,55.8
ADE,63.97
EAA,29.92
ABB,77.15
AAE,50.83
CBC,32.13
EEA,65.38
BEC,29.72
CDB,21.46
CBE,41.93
AAA,27.4
DDC,52.17
CBC,64.01
DBE,98.62
EAA,66.57
BDD,45.34
BAE,14.58
ABC,96.19
EBA,25.59
CDC,81.63
DAC,36.84
DDA,17.17
EDB,93.25
EED,64.74
EAD,95.27
EDA,68.36
ADE,56.59
CBA,71.76
AAE,13.6
CCC,86.53
EAB,71.54
DCB,22.83
BCC,81.03
EAB,18.36
BBD,32.48
CDC,27.15
EEA,10.45
DDE,21.88
DCA,58.11
BAA,92.53
BCE,34.11
DEC,57.22
BBA,97.17
EAA,74.3
ADE,28.28
DED,78.86
CED,32.24
ABD,82.93
DCD,28.45
CAB,17.35
CAB,55.15
AED,30.01
DAB,23.68
CAE,90.49
CBD,48.37
EAC,89.49
ECA,78.67
ACC,42.99
DAB,29.55
DED,60.67
DBE,78.09
DEB,33.96
ACB,19.32
BAE,81.87
BAE,19.54
DEE,77.04
AED,53.79
EEE,83.51
DED,76.78
DEE,52.25
BEC,75.87
ADB,30.4
AAB,26.72
CBA,29.16
BAC,53.82
ADD,43.49
EEB,14.98
BDA,78.81
AAC,27.04
EAC,10.87
BCA,23.89
DDC,54.53
CAE,27.77
BED,83.23
EAE,65.16
BAE,97.59
CAC,23.71
BAA,57.38
DBE,83.93
CAE,36.63
DDE,82.78
CAE,66.79
DAB,72.92
ACA,69.64
ABB,93.99
CAA,56.44
ABA,95.49
BCB,19.94
DAA,28.55
DBC,16.83
CED,99.69
DAA,93.16
CAB,20.89
ACE,82.19
DAB,30.56
ADE,27.0
EDB,95.62
CBE,12.99
DAE,71.36
DEA,64.48
DAB,40.9
DCD,92.22
DED,74.8
DBC,88.65
DAD,63.77
BEA,23.82
BBC,44.14
ABE,12.42
ADB,25.61
EDC,76.34
CBE,26.28
DDE,15.53
BED,94.99
AAE,12.84
BDB,38.96
BDC,45.44
ABD,19.38
BAD,18.65
EDC,76.26
BCD,36.66
BEA,59.13
AAE,20.18
BDD,61.7
ABA,67.81
DCE,15.64
CCA,99.09
BEA,99.93
DCA,56.77
ADA,37.15
CCB,26.19
ACB,59.09
ACB,83.76
DED,30.18
ABD,90.41
ADA,61.22
AEA,43.27
AED,46.98
DCC,23.63
DEE,92.27
DDE,77.01
EBA,15.46
BEB,74.34
CEE,10.48
ECB,48.33
DAA,84.0
CCA,31.59
ADE,39.75
AEC,33.82
ECB,41.65
DEA,74.67
BAC,65.45
ABD,58.46
DED,49.9
EDE,90.85
BBA,87.31
EDC,59.94
EEB,37.96
EDA,82.41
